order_id,order_date,day,order_hour,city,chai_type,size,quantity,unit_price,discount_percent,total_amount,payment_method,customer_type,order_mode,weather,temperature_c,customer_rating,prep_time_min,sugar_level,milk_type,repeat_customer
CHAI1001,2026-06-13,Saturday,8,Pune,Adrak Chai,Small,1,25,0,25.0,UPI,Student,Takeaway,Hot,39.1,3.0,5.1,No Sugar,Toned,No
CHAI1002,2026-02-26,Thursday,11,Jaipur,Chocolate Chai,Medium,3,60,20,144.0,Cash,Office Worker,Takeaway,Rainy,19.6,4.0,5.2,No Sugar,Full Cream,No
CHAI1003,2026-06-04,Thursday,20,Delhi,Lemon Tea,Large,2,50,15,85.0,Wallet,Local,Dine-in,Rainy,24.3,4.0,5.4,No Sugar,Regular,Yes
CHAI1004,2026-03-16,Monday,10,Kota,Adrak Chai,Large,3,45,5,128.25,UPI,Tourist,Dine-in,Rainy,24.7,5.0,5.0,Less,Toned,Yes
CHAI1005,2026-04-29,Wednesday,19,Pune,Kulhad Chai,Small,4,35,0,140.0,Cash,Student,Dine-in,Sunny,27.8,4.0,13.6,Normal,Toned,No
CHAI1006,2026-04-12,Sunday,12,Indore,Chocolate Chai,Small,1,50,20,40.0,Cash,Local,Delivery,Cold,10.2,4.0,3.8,No Sugar,Regular,Yes
CHAI1007,2026-06-10,Wednesday,11,Delhi,Elaichi Chai,Medium,1,40,10,36.0,UPI,Other,Delivery,Hot,43.7,1.0,9.5,Normal,Full Cream,Yes
CHAI1008,2026-03-17,Tuesday,20,Indore,Kulhad Chai,Small,1,35,10,31.5,Wallet,Office Worker,Takeaway,Sunny,31.5,4.0,4.8,Normal,Toned,Yes
CHAI1009,2026-06-03,Wednesday,21,Ahmedabad,Green Tea,Medium,1,50,0,50.0,Card,Tourist,Dine-in,Cloudy,26.2,5.0,10.3,Less,Toned,No
CHAI1010,2026-05-21,Thursday,18,Kota,Elaichi Chai,Small,3,30,20,72.0,Wallet,Other,Takeaway,Cloudy,23.4,5.0,8.3,Extra,Regular,Yes
CHAI1011,2026-02-27,Friday,10,Pune,Adrak Chai,Small,2,25,0,50.0,Cash,Student,Dine-in,Sunny,24.8,4.0,8.3,Normal,No Milk,Yes
CHAI1012,2026-05-19,Tuesday,8,Udaipur,Elaichi Chai,Medium,3,40,0,120.0,UPI,Local,Takeaway,Cloudy,21.1,4.0,8.6,No Sugar,Regular,Yes
CHAI1013,2026-04-14,Tuesday,11,Pune,Green Tea,Large,1,60,15,51.0,UPI,Local,Dine-in,Cloudy,25.1,3.0,,No Sugar,Regular,Yes
CHAI1014,2026-01-24,Saturday,13,Pune,Kesar Chai,Small,2,45,10,81.0,Card,Student,Dine-in,Sunny,27.2,4.0,7.5,Extra,Toned,Yes
CHAI1015,2026-03-17,Tuesday,15,Jaipur,Kesar Chai,Large,2,65,0,130.0,Cash,Student,Dine-in,Cold,17.2,2.0,8.3,Less,Regular,Yes
CHAI1016,2026-06-22,Monday,17,Pune,Kesar Chai,Medium,4,55,0,220.0,Cash,Student,Takeaway,Cold,13.8,5.0,6.9,Normal,Toned,No
CHAI1017,2026-04-12,Sunday,16,Ahmedabad,Elaichi Chai,Medium,1,40,0,40.0,Card,Student,Dine-in,Hot,44.0,4.0,5.4,Normal,Regular,Yes
CHAI1018,2026-04-05,Sunday,11,Indore,Lemon Tea,Small,3,30,0,90.0,Cash,Other,Dine-in,Hot,43.2,5.0,6.8,No Sugar,Toned,No
CHAI1019,2026-03-14,Saturday,8,Indore,Kesar Chai,Medium,1,55,10,49.5,UPI,Tourist,Delivery,Sunny,31.6,2.0,6.0,Less,,Yes
CHAI1020,2026-04-24,Friday,13,Mumbai,Kulhad Chai,Medium,1,45,0,45.0,Cash,Tourist,Takeaway,Cloudy,21.4,5.0,10.2,No Sugar,Full Cream,Yes
CHAI1021,2026-06-24,Wednesday,20,Kota,Kesar Chai,Medium,1,55,10,49.5,Wallet,Office Worker,Delivery,Cloudy,21.8,3.0,6.7,Less,Full Cream,No
CHAI1022,2026-06-21,Sunday,10,Delhi,Kesar Chai,Small,3,45,0,135.0,UPI,Student,Delivery,Cloudy,29.0,4.0,11.6,Less,Toned,Yes
CHAI1023,2026-06-18,Thursday,13,Delhi,Kesar Chai,Medium,1,55,10,49.5,Wallet,Tourist,Dine-in,Hot,40.2,4.0,3.2,Normal,Toned,No
CHAI1024,2026-01-10,Saturday,10,Ahmedabad,Adrak Chai,Medium,1,35,5,33.25,UPI,Other,Dine-in,Hot,35.1,1.0,11.3,Less,Full Cream,No
CHAI1025,2026-01-18,Sunday,12,Delhi,Green Tea,Medium,2,50,0,100.0,Cash,Tourist,Takeaway,Cold,12.0,3.0,7.5,Extra,Toned,No
CHAI1026,2026-04-14,Tuesday,14,Ahmedabad,Masala Chai,Small,1,25,20,20.0,UPI,Local,Takeaway,Hot,41.5,5.0,8.9,Normal,Full Cream,Yes
CHAI1027,2026-03-02,Monday,14,Jaipur,Lemon Tea,Small,1,30,5,28.5,UPI,Local,Takeaway,Sunny,,3.0,9.3,Extra,No Milk,Yes
CHAI1028,2026-02-07,Saturday,14,Delhi,Masala Chai,Large,3,45,0,135.0,Cash,Office Worker,Dine-in,Hot,32.6,5.0,8.5,Extra,Full Cream,No
CHAI1029,2026-06-06,Saturday,20,Mumbai,Kulhad Chai,Large,2,55,10,99.0,Cash,Local,Takeaway,Cloudy,27.0,4.0,9.3,Normal,No Milk,Yes
